gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,No,56.120000000000005,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.0,1501.75,0
Female,0,No,No,17.48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.676000000000002,465.85,0
Male,0,Yes,No,11.96,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.43,1359.0,1
Male,0,Yes,No,34.04,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,59.454,2030.75,0
Female,0,No,No,5.5200000000000005,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),31.806,161.45,0
Male,0,Yes,No,2.7600000000000002,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),32.184000000000005,94.4,0
Male,1,Yes,Yes,47.84,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,87.318,4079.55,0
Female,1,No,No,13.8,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.82000000000001,1400.3,0
Female,0,No,No,23.92,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.06,1800.05,0
Male,0,Yes,No,60.720000000000006,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,92.07000000000001,5538.35,0
Male,0,No,No,3.68,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.934,308.1,0
Male,0,Yes,No,7.36,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,81.0,632.95,1
Male,0,No,No,44.160000000000004,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.762,982.95,0
Female,0,No,Yes,9.200000000000001,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),79.434,693.3,0
Female,0,No,No,58.88,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),124.308,7334.05,0
Male,0,No,No,20.240000000000002,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.656,2157.3,0
