gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.0,1576.8375,0
Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.676000000000002,489.14250000000004,0
Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.43,1426.95,1
Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,59.454,2132.2875,0
Female,0,No,No,3,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),31.806,169.5225,0
Male,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),32.184000000000005,99.12,0
Male,1,Yes,Yes,49,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,87.318,4283.5275,0
Female,1,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.82000000000001,1470.315,0
Female,0,No,No,23,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.06,1890.0525,0
Male,0,Yes,No,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,92.07000000000001,5815.267500000001,0
Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,92.934,323.50500000000005,0
Male,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,81.0,664.5975000000001,1
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.762,1032.0975,0
Female,0,No,Yes,7,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),79.434,727.965,0
Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),124.308,7700.7525000000005,0
Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.656,2265.1650000000004,0
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.034,98.2275,1
Male,0,No,No,64,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),54.594,3423.105,0
Male,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,96.552,2101.5750000000003,1
Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.198,6237.892500000001,1
Male,0,Yes,Yes,31,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),32.832,985.5825,0
Female,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.654000000000003,1494.8325000000002,0
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,55.458000000000006,275.415,0
Male,1,Yes,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.758,4793.1449999999995,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.76200000000001,129.99,0
Male,0,Yes,Yes,34,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,63.45,2313.255,0
Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),27.756,867.4050000000001,0
Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.844,378.36750000000006,0
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.89200000000001,493.29,1
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.42600000000001,771.0675000000001,1
Male,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),102.81600000000002,4791.150000000001,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.06,72.97500000000001,1
Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.4,3342.0975,1
Male,1,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),117.18,7341.495,0
Female,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.358000000000004,171.35999999999999,0
Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.92,237.87750000000003,0
Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.65400000000001,1763.3700000000001,0
Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53.784,52.29,0
