gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_level,retention_action,estimated_annual_value
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,100.8,1,0.9400255441124811,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1209.6
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,1,0.9392990160088672,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1197.0
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.45,101.45,1,0.9389518260025698,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1217.4
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,94.0,1,0.9360701561295834,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1128.0
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,1,0.9341236259684186,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1122.6
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,94.6,1,0.9331959158125657,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1135.2
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,93.85,1,0.9331959158125657,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1126.2
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,1,0.9294751693090572,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1141.2
Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.25,100.25,1,0.9269049563213494,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Launch early customer engagement campaign,1203.0
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,1,0.9258670305643552,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1145.4
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1,0.9173979631060651,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1020.6
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,1,0.916585717826051,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1028.4
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,88.8,1,0.9148865424485735,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1065.6
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.05,86.05,1,0.9148865424485735,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1032.6
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,1,0.9111537115267814,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1152.0
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.3,91.3,1,0.9089193331147409,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1095.6
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.6,84.6,0,0.9081730697918491,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1015.2
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3,93.3,1,0.9076926545147862,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1119.6
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,0.9063107898494507,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1020.0
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85,1,0.9051624610540099,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1126.2
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,1,0.9044241358039535,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1039.2
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,196.75,1,0.9032551511130394,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1126.2
Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,181.7,1,0.9032551511130394,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1128.0
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.6,90.6,1,0.9031162471217753,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,1087.2
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,75.75,1,0.8984997395388883,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,909.0
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,1,0.8984997395388883,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,917.4
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,1,0.8984997395388883,Critical,Offer long-term contract discount | Provide free online security trial | Offer premium technical support | Investigate fiber service satisfaction | Encourage automatic payment setup | Launch early customer engagement campaign,904.2
